Date,Campaign name,Cost,Revenue
"Sep 30, 2022",PT - 20220930 - W Value Buy (Collection Ad) (Women seg) - Remarketing - Global Pixel,0.1,0
"Sep 30, 2022",PT - 20220930 - W Value Buy (Collection Ad) (Women seg) - Prospecting - Global Pixel,10.24,0
"Sep 30, 2022",PT - 20220930 - M Value Buy (Collection Ad) (Men seg) - Remarketing - Global Pixel,2.83,0
"Sep 30, 2022",PT - 20220930 - M Value Buy (Collection Ad) (Men seg) - Prospecting - Global Pixel,11.37,0
"Sep 30, 2022",PT - 20220926 - WM Heattech Collection (Slideshow & IGS-Slideshow) (Women & Men seg) - Remarketing - Global Pixel,25.31,814
"Sep 30, 2022",PT - 20220926 - WM Heattech Collection (Slideshow & IGS-Slideshow) (Men & Women Seg) - Prospecting - Global Pixel,50.37,396.20000000000005
"Sep 30, 2022",PT - 20220926 - W Pile Lined Sweat Collection (Collection Ad) (Women seg) - Remarketing - Global Pixel,26.23,0
"Sep 30, 2022",PT - 20220926 - W Pile Lined Sweat Collection (Collection Ad) (Women seg) - Prospecting - Global Pixel,34.84,79.9
"Sep 30, 2022",PT - 20220926 - Museum of the world UT Collection (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Remarketing - Global Pixel,25.66,584.3
"Sep 30, 2022",PT - 20220926 - Museum of the world UT Collection (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Prospecting - Global Pixel,52.83,159.8
"Sep 30, 2022",PT - 20220926 - M Pile Lined Sweat Collection (Collection Ad) (Men seg) - Remarketing - Global Pixel,25.75,149.8
"Sep 30, 2022",PT - 20220926 - M Pile Lined Sweat Collection (Collection Ad) (Men seg) - Prospecting - Global Pixel,34.78,755.49
"Sep 30, 2022",PT - 20220926 - K Pile Lined Sweat Collection (Collection Ad) (Kids seg) - Remarketing - Global Pixel,26.47,718.4
"Sep 30, 2022",PT - 20220926 - K Pile Lined Sweat Collection (Collection Ad) (Kids seg) - Prospecting - Global Pixel,25.35,0
"Sep 30, 2022",PT - 20220923 - UPJ 22FW Collection (Video) (Women seg) - Remarketing - Global Pixel,0,0
"Sep 30, 2022",PT - 20220923 - UPJ 22FW Collection (Video) (Men seg) - Remarketing - Global Pixel,0,0
"Sep 30, 2022",PT - 20220920 - W Dynamic Remarketing (Always On)(Carousel) (Women seg) - Remarketing - Global Pixel,95.18,3876.4
"Sep 30, 2022",PT - 20220920 - M Dynamic Remarketing (Always On)(Carousel) (Men seg) - Remarketing - Global Pixel,47.43,2472.6
"Sep 30, 2022",PT - 20220919 - WM Disney Mickey & Friends (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Remarketing - Global Pixel,24.92,204.6
"Sep 30, 2022",PT - 20220919 - WM Disney Mickey & Friends (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Prospecting - Global Pixel,55,714.5
"Sep 30, 2022",PT - 20220919 - WM 20th UT Archive UT (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Remarketing - Global Pixel,24.83,0
"Sep 30, 2022",PT - 20220919 - WM 20th UT Archive UT (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Prospecting - Global Pixel,52.86,0
"Sep 30, 2022",PT - 20220919 - Ukiyo-e Archive UT Collection (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Remarketing - Global Pixel,0,0
"Sep 30, 2022",PT - 20220919 - Ukiyo-e Archive UT Collection (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Prospecting - Global Pixel,0,0
"Sep 30, 2022",PT - 20220919 - BT Paw Patrol UT Collection (Slideshow & IGS-Slideshow) (Maternity seg) - Remarketing - Global Pixel,24.87,567.3
"Sep 30, 2022",PT - 20220919 - BT Paw Patrol UT Collection (Slideshow & IGS-Slideshow) (Maternity seg) - Prospecting - Global Pixel,38.1,224.7
"Sep 30, 2022",PT - 20220916 - Women Value Buy (Slideshow & IGS-Slideshow) (Women seg) - Remarketing - Global Pixel,0,79.9
"Sep 30, 2022",PT - 20220916 - WM Marvel Spider Man 60 Amazing Years UT (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Remarketing - Global Pixel,0,0
"Sep 30, 2022",PT - 20220916 - W Heattech Collection (Carousel) (Women seg) - Remarketing - Global Pixel,0,0
"Sep 30, 2022",PT - 20220916 - Men Value Buy (Slideshow & IGS-Slideshow) (Men seg) - Remarketing - Global Pixel,0,359.3
"Sep 30, 2022",PT - 20220916 - Kids Value Buy (Slideshow & IGS-Slideshow) (Kids seg) - Remarketing - Global Pixel,0,0
"Sep 30, 2022",PT - 20220916 - K Marvel Spider Man 60 Amazing Years UT (Slideshow & IGS-Slideshow) (UT-Kids seg) - Remarketing - Global Pixel,0,379.3
"Sep 30, 2022",PT - 20220916 - K Marvel Spider Man 60 Amazing Years UT  (Slideshow & IGS-Slideshow) (Kids seg) - Prospecting - Global Pixel,0,0
"Sep 30, 2022",PT - 20220912 - W New Arrivals (Carousel) (Women seg) - Remarketing - Global Pixel,0,0
"Sep 30, 2022",PT - 20220912 - M New Arrivals (Carousel) (Men seg) - Remarketing - Global Pixel,0,0
"Sep 30, 2022",PT - 20220912 - K New Arrivals (Slideshow & IGS-Slideshow) (Kids seg) - Remarketing - Global Pixel,0,0
"Sep 30, 2022",PT - 20220905 - W Work/Clean Collection (Collection Ad) (Working Pro - Women seg) - Remarketing - Global Pixel,0,359.4
"Sep 30, 2022",PT - 20220905 - W Loungewear Collection (Collection Ad) (Women seg) - Remarketing - Global Pixel,0,0
"Sep 30, 2022",PT - 20220905 - W Core T-shirt Collection (Collection Ad) (Women seg) - Prospecting - Global Pixel,46.68,289.4
"Sep 30, 2022",PT - 20220905 - One Piece Film Red UT Collection (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Remarketing - Global Pixel,34.8,139.8
"Sep 30, 2022",PT - 20220905 - One Piece Film Red UT Collection (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Prospecting - Global Pixel,95.61,0
"Sep 30, 2022",PT - 20220905 - M New Arrivals (Slideshow & IGS-Slideshow) (Men seg) - Remarketing - Global Pixel,24.61,715.69
"Sep 30, 2022",PT - 20220905 - K Minecraft UT Collection (Slideshow & IGS-Slideshow) (Kids seg) - Remarketing - Global Pixel,24.87,359.2
"Sep 30, 2022",PT - 20220905 - K Minecraft UT Collection (Slideshow & IGS-Slideshow) (Kids seg) - Prospecting - Global Pixel,24.53,0
"Sep 30, 2022",PT - 20220829 - W Top-Sellers (Always-On Campaign) (Collection Ad) (Women seg) - Remarketing - Global Pixel,94.66,1622.6000000000001
"Sep 29, 2022",PT - 20220926 - WM Heattech Collection (Slideshow & IGS-Slideshow) (Women & Men seg) - Remarketing - Global Pixel,24.79,0
"Sep 29, 2022",PT - 20220926 - WM Heattech Collection (Slideshow & IGS-Slideshow) (Men & Women Seg) - Prospecting - Global Pixel,49.92,214.8
"Sep 29, 2022",PT - 20220926 - W Pile Lined Sweat Collection (Collection Ad) (Women seg) - Remarketing - Global Pixel,26.1,369.5
"Sep 29, 2022",PT - 20220926 - W Pile Lined Sweat Collection (Collection Ad) (Women seg) - Prospecting - Global Pixel,35.12,1060.0900000000001
"Sep 29, 2022",PT - 20220926 - Museum of the world UT Collection (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Remarketing - Global Pixel,25.92,59.9
"Sep 29, 2022",PT - 20220926 - Museum of the world UT Collection (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Prospecting - Global Pixel,52.24,219.6
"Sep 29, 2022",PT - 20220926 - M Pile Lined Sweat Collection (Collection Ad) (Men seg) - Remarketing - Global Pixel,25.58,404.3
"Sep 29, 2022",PT - 20220926 - M Pile Lined Sweat Collection (Collection Ad) (Men seg) - Prospecting - Global Pixel,35.28,1996
"Sep 29, 2022",PT - 20220926 - K Pile Lined Sweat Collection (Collection Ad) (Kids seg) - Remarketing - Global Pixel,25.55,0
"Sep 29, 2022",PT - 20220926 - K Pile Lined Sweat Collection (Collection Ad) (Kids seg) - Prospecting - Global Pixel,25.3,85.6
"Sep 29, 2022",PT - 20220923 - UPJ 22FW Collection (Video) (Women seg) - Remarketing - Global Pixel,0,29.9
"Sep 29, 2022",PT - 20220923 - UPJ 22FW Collection (Video) (Men seg) - Remarketing - Global Pixel,0,0
"Sep 29, 2022",PT - 20220920 - W Limited Offer(Collection Ad) (Women seg) - Remarketing - Global Pixel,0,0
"Sep 29, 2022",PT - 20220920 - W Limited Offer(Collection Ad) (Women seg) - Prospecting - Global Pixel,0,0
"Sep 29, 2022",PT - 20220920 - W Dynamic Remarketing (Always On)(Carousel) (Women seg) - Remarketing - Global Pixel,35.48,2246.2
"Sep 29, 2022",PT - 20220920 - M Limited Offer (Collection Ad) (Men seg) - Prospecting - Global Pixel,0,0
"Sep 29, 2022",PT - 20220920 - M Dynamic Remarketing (Always On)(Carousel) (Men seg) - Remarketing - Global Pixel,19.99,1190
"Sep 29, 2022",PT - 20220920 - K Limited Offer(Collection Ad) (Kids seg) - Remarketing - Global Pixel,0,0
"Sep 29, 2022",PT - 20220920 - K Limited Offer(Collection Ad) (Kids seg) - Prospecting - Global Pixel,0,0
"Sep 29, 2022",PT - 20220919 - WM Disney Mickey & Friends (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Remarketing - Global Pixel,24.85,259.4
"Sep 29, 2022",PT - 20220919 - WM Disney Mickey & Friends (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Prospecting - Global Pixel,54.68,0
"Sep 29, 2022",PT - 20220919 - WM 20th UT Archive UT (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Remarketing - Global Pixel,24.93,259.8
"Sep 29, 2022",PT - 20220919 - WM 20th UT Archive UT (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Prospecting - Global Pixel,51.67,434.4
"Sep 29, 2022",PT - 20220919 - Ukiyo-e Archive UT Collection (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Remarketing - Global Pixel,0,404.3
"Sep 29, 2022",PT - 20220919 - Ukiyo-e Archive UT Collection (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Prospecting - Global Pixel,0,0
"Sep 29, 2022",PT - 20220919 - BT Paw Patrol UT Collection (Slideshow & IGS-Slideshow) (Maternity seg) - Remarketing - Global Pixel,24.76,369.7
"Sep 29, 2022",PT - 20220919 - BT Paw Patrol UT Collection (Slideshow & IGS-Slideshow) (Maternity seg) - Prospecting - Global Pixel,32.44,0
"Sep 29, 2022",PT - 20220916 - Women Value Buy (Slideshow & IGS-Slideshow) (Women seg) - Remarketing - Global Pixel,24.35,0
"Sep 29, 2022",PT - 20220916 - WM Marvel Spider Man 60 Amazing Years UT (Slideshow & IGS-Slideshow) (UT-Women & Men seg) - Remarketing - Global Pixel,23.85,269.6
