Date,Channel,Cost,Revenue
"Sep 30, 2022",Search,1623.42,1735.3
"Sep 30, 2022",Discovery,431.800282,189.8
"Sep 30, 2022",GDN Non-Smart Display,202.24024,0
"Sep 30, 2022",Facebook,0,419.4
"Sep 30, 2022",App Install,8161.827127,0
"Sep 30, 2022",Performance Max,70.70856,0
"Sep 30, 2022",G Shopping,5074.476466,719.2
"Sep 30, 2022",YouTube,10.032446,0
"Sep 29, 2022",YouTube,298.854106,0
"Sep 29, 2022",Search,1732.386081,4777.5
"Sep 29, 2022",GDN Non-Smart Display,157.384137,0
"Sep 29, 2022",Discovery,606.252474,359
"Sep 29, 2022",Performance Max,44.373419,0
"Sep 29, 2022",App Install,9316.225536,0
"Sep 29, 2022",G Shopping,3055.527455,1805
"Sep 29, 2022",Facebook,0,119.8
"Sep 28, 2022",Discovery,974.375099,159.8
"Sep 28, 2022",Search,1820.108,4007.7
"Sep 28, 2022",GDN Non-Smart Display,159.780199,174.3
"Sep 28, 2022",G Shopping,3151.590847,794.2
"Sep 28, 2022",Facebook,0,309.6
"Sep 28, 2022",YouTube,298.878697,0
"Sep 28, 2022",Performance Max,57.38235,0
"Sep 28, 2022",App Install,9063.513844,0
"Sep 27, 2022",Facebook,0,833.6
"Sep 27, 2022",Discovery,1165.840469,483.8
"Sep 27, 2022",Search,2009.395478,2405
"Sep 27, 2022",GDN Non-Smart Display,155.973102,729.2
"Sep 27, 2022",YouTube,298.276521,0
"Sep 27, 2022",App Install,8658.98439,0
"Sep 27, 2022",G Shopping,2963.262738,390.2
"Sep 27, 2022",Performance Max,56.390388,0
"Sep 26, 2022",Search,1854.836292,3399.9
"Sep 26, 2022",Discovery,1512.344591,119.8
"Sep 26, 2022",Performance Max,60.674294,0
"Sep 26, 2022",GDN Non-Smart Display,580.913844,0
"Sep 26, 2022",App Install,6044.557926,0
"Sep 26, 2022",YouTube,327.520005,0
"Sep 26, 2022",Facebook,0,464.3
"Sep 26, 2022",G Shopping,2950.058992,1217.1
"Sep 25, 2022",Search,1650.892589,2446.3
"Sep 25, 2022",Discovery,1091.023321,59.9
"Sep 25, 2022",Performance Max,69.024175,0
"Sep 25, 2022",Facebook,0,407.1
"Sep 25, 2022",GDN Non-Smart Display,650.39184,0
"Sep 25, 2022",YouTube,1376.602558,0
"Sep 25, 2022",G Shopping,3211.86287,584
"Sep 25, 2022",App Install,6088.319429,0
"Sep 24, 2022",GDN Non-Smart Display,635.113585,160.4
"Sep 24, 2022",Discovery,1091.705422,109.7
"Sep 24, 2022",Search,1355.386134,1227.6
"Sep 24, 2022",Facebook,0,948.4
"Sep 24, 2022",G Shopping,967.742607,923.9
"Sep 24, 2022",YouTube,1376.473628,0
"Sep 24, 2022",App Install,5847.431893,0
"Sep 24, 2022",Performance Max,106.043739,0
"Sep 23, 2022",Search,1237.487039,6727.9
"Sep 23, 2022",GDN Non-Smart Display,202.639941,0
"Sep 23, 2022",Discovery,631.605138,459.6
"Sep 23, 2022",App Install,10803.105696,0
"Sep 23, 2022",Performance Max,21.65361,0
"Sep 23, 2022",G Shopping,377.791982,1270.5
"Sep 23, 2022",YouTube,1328.33713,0
"Sep 23, 2022",Facebook,0,219.6
"Sep 22, 2022",Discovery,774.728404,354.1
"Sep 22, 2022",Facebook,0,469
"Sep 22, 2022",Search,989.913238,4121.9
