cookie,time,interaction,conversion,conversion_value,channel
EAIaIQobChMIoaSCxMSr-QIVhH0rCh0j0gPnEAAYASAAEgIjE_D_BwE,1659559768,MemberRegistration,0,0,google
Cj0KCQjwuaiXBhCCARIsAKZLt3nqwRmq0F2XzRA3CabGxNIBbkJVN7e2iLLgOt2keURQLHzfZcmc30kaAghtEALw_wcB,1659582219,ViewContent,0,0,google
Cj0KCQjwuaiXBhCCARIsAKZLt3nqwRmq0F2XzRA3CabGxNIBbkJVN7e2iLLgOt2keURQLHzfZcmc30kaAghtEALw_wcB,1659582225,AddToCart,0,0,google
Cj0KCQjwuaiXBhCCARIsAKZLt3k_TLeUvwjBywPmZtdo0QvfE2yxWUcpnwqzStL6LadC_AlitonJtC0aAtO0EALw_wcB,1659592632,MemberRegistration,0,0,google
Cj0KCQjwuaiXBhCCARIsAKZLt3k_TLeUvwjBywPmZtdo0QvfE2yxWUcpnwqzStL6LadC_AlitonJtC0aAtO0EALw_wcB,1659592663,ViewContent,0,0,google
Cj0KCQjwuaiXBhCCARIsAKZLt3k_TLeUvwjBywPmZtdo0QvfE2yxWUcpnwqzStL6LadC_AlitonJtC0aAtO0EALw_wcB,1659592735,ViewContent,0,0,google
Cj0KCQjwuaiXBhCCARIsAKZLt3k_TLeUvwjBywPmZtdo0QvfE2yxWUcpnwqzStL6LadC_AlitonJtC0aAtO0EALw_wcB,1659592787,ViewContent,0,0,google
Cj0KCQjwuaiXBhCCARIsAKZLt3k_TLeUvwjBywPmZtdo0QvfE2yxWUcpnwqzStL6LadC_AlitonJtC0aAtO0EALw_wcB,1659592911,ViewContent,0,0,google
Cj0KCQjwuaiXBhCCARIsAKZLt3k_TLeUvwjBywPmZtdo0QvfE2yxWUcpnwqzStL6LadC_AlitonJtC0aAtO0EALw_wcB,1659593038,ViewContent,0,0,google
Cj0KCQjwuaiXBhCCARIsAKZLt3k_TLeUvwjBywPmZtdo0QvfE2yxWUcpnwqzStL6LadC_AlitonJtC0aAtO0EALw_wcB,1659593094,ViewContent,0,0,google
Cj0KCQjwuaiXBhCCARIsAKZLt3k_TLeUvwjBywPmZtdo0QvfE2yxWUcpnwqzStL6LadC_AlitonJtC0aAtO0EALw_wcB,1659593170,ViewContent,0,0,google
Cj0KCQjwuaiXBhCCARIsAKZLt3k_TLeUvwjBywPmZtdo0QvfE2yxWUcpnwqzStL6LadC_AlitonJtC0aAtO0EALw_wcB,1659593252,ViewContent,0,0,google
Cj0KCQjwuaiXBhCCARIsAKZLt3k_TLeUvwjBywPmZtdo0QvfE2yxWUcpnwqzStL6LadC_AlitonJtC0aAtO0EALw_wcB,1659593403,ViewContent,0,0,google
Cj0KCQjwuaiXBhCCARIsAKZLt3k_TLeUvwjBywPmZtdo0QvfE2yxWUcpnwqzStL6LadC_AlitonJtC0aAtO0EALw_wcB,1659593444,ViewContent,0,0,google
Cj0KCQjwuaiXBhCCARIsAKZLt3nqwRmq0F2XzRA3CabGxNIBbkJVN7e2iLLgOt2keURQLHzfZcmc30kaAghtEALw_wcB,1659594138,ViewContent,0,0,google
Cj0KCQjwuaiXBhCCARIsAKZLt3nqwRmq0F2XzRA3CabGxNIBbkJVN7e2iLLgOt2keURQLHzfZcmc30kaAghtEALw_wcB,1659594217,ViewContent,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrAunDM6epfwelBZ7Kse9cYr1M8qCX4IAjbKRjpdCbSD2XN7s1uxbEPRoC7EsQAvD_BwE,1659603960,ViewContent,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrAunDM6epfwelBZ7Kse9cYr1M8qCX4IAjbKRjpdCbSD2XN7s1uxbEPRoC7EsQAvD_BwE,1659604162,AddToCart,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrApNvgkF21u1E29B4AZgnCXP_m3UmW99FywSDQzGcO8I6Y_rT4QnEABoCLasQAvD_BwE,1659607018,MemberRegistration,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrApNvgkF21u1E29B4AZgnCXP_m3UmW99FywSDQzGcO8I6Y_rT4QnEABoCLasQAvD_BwE,1659607739,ViewContent,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrApNvgkF21u1E29B4AZgnCXP_m3UmW99FywSDQzGcO8I6Y_rT4QnEABoCLasQAvD_BwE,1659607849,ViewContent,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrApNvgkF21u1E29B4AZgnCXP_m3UmW99FywSDQzGcO8I6Y_rT4QnEABoCLasQAvD_BwE,1659608208,ViewContent,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrApNvgkF21u1E29B4AZgnCXP_m3UmW99FywSDQzGcO8I6Y_rT4QnEABoCLasQAvD_BwE,1659608247,ViewContent,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrApNvgkF21u1E29B4AZgnCXP_m3UmW99FywSDQzGcO8I6Y_rT4QnEABoCLasQAvD_BwE,1659608489,ViewContent,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrApNvgkF21u1E29B4AZgnCXP_m3UmW99FywSDQzGcO8I6Y_rT4QnEABoCLasQAvD_BwE,1659608605,ViewContent,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrApNvgkF21u1E29B4AZgnCXP_m3UmW99FywSDQzGcO8I6Y_rT4QnEABoCLasQAvD_BwE,1659608608,AddToCart,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrApNvgkF21u1E29B4AZgnCXP_m3UmW99FywSDQzGcO8I6Y_rT4QnEABoCLasQAvD_BwE,1659608730,ViewContent,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrApNvgkF21u1E29B4AZgnCXP_m3UmW99FywSDQzGcO8I6Y_rT4QnEABoCLasQAvD_BwE,1659608793,ViewContent,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrApNvgkF21u1E29B4AZgnCXP_m3UmW99FywSDQzGcO8I6Y_rT4QnEABoCLasQAvD_BwE,1659629809,ViewContent,0,0,google
EAIaIQobChMIp8-ux_yu-QIV1jUrCh3m6wqtEAAYASAAEgLfovD_BwE,1659689395,Purchase,1,592.8,google
EAIaIQobChMIrN73yvev-QIVs51LBR3yYQk9EAAYASAAEgKPPPD_BwE,1659710723,MemberRegistration,0,0,google
Cj0KCQjw_7KXBhCoARIsAPdPTfgj0XlWWN5y3E5eJHHHvq4SY2r2yjNpBXqCPsus-P01Siox619b-ZIaAq0qEALw_wcB,1659747232,MemberRegistration,0,0,google
Cj0KCQjw_7KXBhCoARIsAPdPTfgj0XlWWN5y3E5eJHHHvq4SY2r2yjNpBXqCPsus-P01Siox619b-ZIaAq0qEALw_wcB,1659747233,MemberRegistration,0,0,google
Cj0KCQjw_7KXBhCoARIsAPdPTfgj0XlWWN5y3E5eJHHHvq4SY2r2yjNpBXqCPsus-P01Siox619b-ZIaAq0qEALw_wcB,1659747269,MemberRegistration,0,0,google
Cj0KCQjw_7KXBhCoARIsAPdPTfgj0XlWWN5y3E5eJHHHvq4SY2r2yjNpBXqCPsus-P01Siox619b-ZIaAq0qEALw_wcB,1659747420,ViewContent,0,0,google
Cj0KCQjw_7KXBhCoARIsAPdPTfgj0XlWWN5y3E5eJHHHvq4SY2r2yjNpBXqCPsus-P01Siox619b-ZIaAq0qEALw_wcB,1659747438,ViewContent,0,0,google
Cj0KCQjw_7KXBhCoARIsAPdPTfgj0XlWWN5y3E5eJHHHvq4SY2r2yjNpBXqCPsus-P01Siox619b-ZIaAq0qEALw_wcB,1659747444,AddToCart,0,0,google
Cj0KCQjw_7KXBhCoARIsAPdPTfjbuLO1i_eK7rLu7quo_-yDNAi66dYuzrlvlGrSlPrvhkx_yZQBOwMaAusaEALw_wcB,1659766227,Purchase,1,621,KOL_athishakhan
EAIaIQobChMI1-PgtP6v-QIVhRsrCh1cxQe9EAAYASAAEgLl4fD_BwE,1659768482,Purchase,1,5805,undefined
