path,conversions
Paid Search > Organic Search,3961
Direct > Direct,2635
Organic Search > Direct,1709
Direct > Direct > Direct,1396
(unavailable) > Direct,955
Direct > Direct > Direct > Direct,906
(unavailable) > Social Network,837
Paid Search > Direct,657
Organic Search > Direct > Direct,622
Direct > Direct > Direct > Direct > Direct,621
Paid Search > Organic Search > Direct,549
Paid Search > Paid Search,538
Paid Search > Organic Search > Paid Search > Organic Search,494
Paid Search > Paid Search > Organic Search,436
Direct > (unavailable),431
(unavailable) > (unavailable),410
Direct > Direct > Direct > Direct > Direct > Direct,393
(unavailable) > Direct > Direct,367
Direct > Direct > Direct > Direct > Direct > Direct > Direct,338
Organic Search > Direct > Direct > Direct,303
Paid Search > Social Network,296
Email > Direct,287
Paid Search > Organic Search > Paid Search,278
Organic Search > Paid Search > Organic Search,277
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,223
Paid Search > Organic Search > Direct > Direct,218
Paid Search > Direct > Direct,213
Direct > Organic Search,200
(unavailable) > Direct > Direct > Direct,199
Email > Email,193
Organic Search > Paid Search,191
Social Network > Social Network,183
(unavailable) > Referral,173
Organic Search > Direct > Direct > Direct > Direct,171
(unavailable) > Social Network > (unavailable) > Social Network,162
Paid Search > (unavailable),161
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,157
Direct > (unavailable) > Direct,152
Direct > Email,147
Paid Search > Paid Search > Paid Search,135
(unavailable) > (unavailable) > Direct,130
Paid Search > Organic Search > Direct > Direct > Direct,123
(unavailable) > Direct > Direct > Direct > Direct,114
Email > Direct > Direct,111
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,107
Email > (unavailable),107
Direct > Paid Search,104
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,102
Direct > Direct > (unavailable),100
Paid Search > Direct > Direct > Direct,98
Paid Search > Paid Search > Paid Search > Organic Search,95
Social Network > Direct,93
(unavailable) > Direct > (unavailable),92
(unavailable) > Direct > Social Network,92
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,91
(unavailable) > (unavailable) > Social Network,86
Direct > Direct > Organic Search,85
Organic Search > Direct > Direct > Direct > Direct > Direct,84
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,82
(unavailable) > (unavailable) > (unavailable),81
